Text,Class,filtered_text
One of the top private hospitals in the country with modern techniques. Good online and offline healthcare opportunities. Large and spacious building with systematic care of patients.You can call 10616 for appointment or any other query. …,positive,private hospitals country modern techniques good online offline healthcare opportunities large spacious build systematic care patients call appointment query
One of the leading private hospital in Bangladesh. Their service is quite good but the total system is designed for rich people considering the service cost and priority to customers. General people can take consultation from doctors as …,positive,lead private hospital bangladesh service quite good total system design rich people consider service cost priority customers general people take consultation doctor
Square Hospitals is one of the best private hospitals in Bangladesh. The place is very neat and clean. Their service is awesome. I went to Dr. Aftab Yusuf Raj to take consultation of my baby. New she is fine and the Dr. behaviour is very polite and as expected. Their service charge and other cost is high. I strongly recommend.,positive,square hospitals best private hospitals bangladesh place neat clean service awesome go aftab yusuf take consultation baby fine behaviour polite expect service charge cost high strongly recommend
Of course Square Hospital is too poor to provide a mask to their patient or visitors! Even though most of the patients and attendants bring own mask. I asked them to provide me one but they said they do not have any for the visitors. So i …,negative,course square hospital poor provide mask patient visitors even though patients attendants bring mask ask provide say visitors
Square Hospital one of the best & top private healthcare services in Bangladesh. This is 500 bed hospital. Their outdoor doctors are very good and they try to keep countries best doctors in their hospital. …,positive,square hospital best private healthcare service bangladesh hospital outdoor doctor good keep countries best doctor hospital
"Probably the first hospital on earth where patients are treated by security guards (disqualified in the military) instead of doctors. If you desire to waste your well-earned money on getting a death certificate, this hospital offers you the most expensive pricing.",negative,probably first hospital earth patients treat security guard disqualify military instead doctor desire waste well earn money get death certificate hospital offer expensive price
One of the largest high-end private hospitals in Dhaka with 500 bed and 3000 staffs. The Hospital was founded on 16 December 2006. ,positive,largest high private hospitals dhaka staff hospital found december
One of the best Hospital in Bangladesh. So many peoples are coming everyday here from the different parts of the country. Definitely expensive as their service. it has a cafeteria and few coffee corner. It has also a good kids indoor play ground in 9th floor.,positive,best hospital bangladesh many people come everyday different part country definitely expensive service cafeteria coffee corner also good kid indoor play grind floor
My father was admitted into the hospital due to his heart problems. I went to stay with him in the hospital cabin. Most of nurses were very good except a brother nurse entered into the patient cabin without covering his face properly who …,mixed,father admit hospital heart problems go stay hospital cabin nurse good except brother nurse enter patient cabin without cover face properly
Very good service. Everyone is cordial. Very clean and artistic environment. They have an awesome cafeteria with reasonable price.,positive,good service everyone cordial clean artistic environment awesome cafeteria reasonable price
One of the cleanest hospitals in Bangladesh. Health safety and hygiene is paramount for each doctors to staff members. They also have helipad for the emergency of patients. …,positive,cleanest hospitals bangladesh health safety hygiene paramount doctor staff members also helipad emergency patients
Unprofessional. Rude staff. They are also racist. If you're dark skinned you won't get service but if you are white you will be treated well. My friend and I came. Both of us are British citizens for a COVID test. They made me hand over …,negative,unprofessional rude staff also racist dark skin service white treat well friend come british citizens covid test make hand
Square Hospital is one of the renowned hospitals in Bangladesh.,positive,square hospital renowned hospitals bangladesh
It has several different departments which have more experienced and …,positive,several different departments experience
Service quality seems a bit detached when dealing with patients. Route is nearly always congested due to the hospital and inadequate parking facilities. …,negative,service quality seem detach deal patients route nearly always congest hospital inadequate park facilities
"Each and every facility is available here in the Square Hospitals Ltd, Panthopath. Anyone can come to have advanced treatment facility. The hospital authority is gonna inaugurate a new building very soon to provide more advanced treatment …",positive,every facility available square hospitals panthopath anyone come advance treatment facility hospital authority gonna inaugurate build soon provide advance treatment
Nowadays I can assume that Square hospital is the best hospital in Bangladesh. Evercare hospital is also best but Evercare is too tough to afford for a middle class family whereas middle class family can afford Square Hospital without some …,positive,nowadays assume square hospital best hospital bangladesh evercare hospital also best evercare tough afford middle class family whereas middle class family afford square hospital without
"This is the second extension part of the Square Hospitals Ltd, a reputed health service provider in Bangladesh.",positive,second extension part square hospitals repute health service provider bangladesh
The 8th to 12th floor of Union Heights building is known as extension wing- 2. …,positive,floor union heights build know extension wing
Waited in front of ghdu to know patient (bed no 2) update from 11:02 am to 12:33 pm on 28may2022 but no duty doctors came out to provide the details. Duty guard keep telling that all doctors are busy. I think they should keep praying to …,negative,wait front ghdu know patient update duty doctor come provide detail duty guard keep tell doctor busy think keep pray
"Square hospital LTD. You would think this is one the best hospitals in Bangladesh. However it’s not. She was feeling slightly unwell, and had gone to the hospital by herself. There, they had admitted her to the general ICU room, not the …",negative,square hospital would think best hospitals bangladesh however feel slightly unwell go hospital admit general room
"One of the best private hospital in Bangladesh, though it's a bit expensive but you will get top notch service from them!",positive,best private hospital bangladesh though expensive notch service
"One of the best Hospital in Dhaka Bangladesh. The outdoor time is morning and evening. Indoor and emergency services is 24/7. A patient gets there every kind of Doctor, Diagnostics and Hospital support. It's called a 5 Star Hospital, so its expenses are high then other Hospital. Given picture is Panthapath Signal near Square Hospital.",positive,best hospital dhaka bangladesh outdoor time morning even indoor emergency service patient get every kind doctor diagnostics hospital support call star hospital expense high hospital give picture panthapath signal near square hospital
"Doctors are nothing like other doctors, they are like friends. They are really frank and advising.",positive,doctor nothing like doctor like friends really frank advise
Doctors really do try their best. …,positive,doctor really best
Fantastic Doctors Collection! Doctors takes sufficient time for each patients & do act boldly!,positive,fantastic doctor collection doctor take sufficient time patients boldly
Square Hospitals provide 400 beds facilities. The hospital is a leading contributor of private healthcare services in Bangladesh since 16th December 2006. There is also available emergency service. There is available ambulance service. 24 …,positive,square hospitals provide bed facilities hospital lead contributor private healthcare service bangladesh since december also available emergency service available ambulance service
It is one of the best hospitals in the country in terms of quality of service.,positive,best hospitals country term quality service
"How to go: from any area of Dhaka city you can come through any public transport. 1st, you have to come at SAARC Fountain (ফোয়ারা), then through Panthapath Road just go straight, at the right hand you will get the hospital. 2nd, if you come …",mixed,area dhaka city come public transport come saarc fountain panthapath road straight right hand hospital come
This is well renowned hospital in Bangladesh.Though there are few other hospitals in Dhaka with similar standards. You will find patient complaint regarding harassment and wrong treatment. But in case of square hospitals this number of complaint is almost less. This a reliable hospital for classy people.,positive,well renowned hospital bangladesh though hospitals dhaka similar standards find patient complaint regard harassment wrong treatment case square hospitals number complaint almost less reliable hospital classy people
"Very good, large and expensive private hospital at panthopat, dhaka in bangladesh. Hospital environment is neat and clean. They maintain world standard management system even security and other system. they didn't allow attendant except any special patient. Their children ward has a child play ground also.",positive,good large expensive private hospital panthopat dhaka bangladesh hospital environment neat clean maintain world standard management system even security system allow attendant except special patient children ward child play grind also
Well decorated and maintained Pharmacy specially square pharma products,positive,well decorate maintain pharmacy specially square pharma products
They have separated their Executive Check up facility and the mainstream hospital facility into two different section. …,positive,separate executive check facility mainstream hospital facility different section
One of the best! But pretty expensive for middle class people.,positive,best pretty expensive middle class people
"Numbers of renowned specialist here, staffs are very friendly. Overall they provide a very professional treatment. …",positive,number renowned specialist staff friendly overall provide professional treatment
Overall good to me by the first experience 😊,positive,overall good first experience
"From all over sites, I am satisfied about dhaka square hospital service.",positive,sit satisfy dhaka square hospital service
Just got released after critical harnia surgery today noon. Alhamdulillah. …,positive,release critical harnia surgery today noon alhamdulillah
One of the best hospital in Bangladesh .I went there with my mom because my mom was suffering a little bit of liver disease.I randomly visited many doctors in Brahmanbaria Sadar because I lived in Brahmanbaria Sadar. But there’re no good …,positive,best hospital bangladesh go suffer little liver disease randomly visit many doctor brahmanbaria sadar live brahmanbaria sadar good
"Dear Concern, thanks for your wonderful work. our whole family gets service from square hospital regularly. The docs & facility is fantastic.",positive,dear concern thank wonderful work whole family get service square hospital regularly docs facility fantastic
But it is very sad to draw your attention that the security/customer service …,negative,draw attention security customer service
SQUARE Hospitals Limited is a 500 beds premiere tertiary care Hospital and the leading provider of private healthcare services in Bangladesh. At present Square Hospital comprises of three buildings on either side of Panthapath connected by …,positive,square hospitals limit bed premiere tertiary care hospital lead provider private healthcare service bangladesh present square hospital comprise three build either side panthapath connect
"90% of their staffs are really caring and expert. However, you will regret meeting the 10%! …",positive,staff really care expert however regret meet
Really one of the best hospital in Bangladesh.  Wonderful services. Though a little bit expensive but their service is best.,positive,really best hospital bangladesh wonderful service though little expensive service best
One of the best private hospitals in Dhaka city the capital of Bangladesh. There are many renowned doctors/specialists/nurses/teams etc. to give service to the patient. Neat & clean environment here and very much disciplined hospital. But …,positive,best private hospitals dhaka city capital bangladesh many renowned doctor specialists nurse team give service patient neat clean environment much discipline hospital
"Very poor service, a staff went in a break and came back after 2 hrs of his sweet time. No one was placed in his positiveition, and everyone had to wait till he got back.  I mean hope it doesn’t happen everyday” as we go there for covid test”ofc …",negative,poor service staff go break come back sweet time place positiveition everyone wait till back mean hope happen everyday covid test
"Square Hospital. wow its really a good hospital.Its a private hospital. provide very good service. But nowdays some how they can't provide their best quality.but they are very good hospital.cost is so high. Very quite nature in this hospital. keep clear, quite etc.",positive,square hospital really good hospital private hospital provide good service nowdays provide best quality good hospital cost high quite nature hospital keep clear quite
One of the best hospital in Bangladesh,positive,best hospital bangladesh
Good private hospitals in Bangladesh. Service charge is too much high. This hospital is only for higher class people.,positive,good private hospitals bangladesh service charge much high hospital higher class people
They are terrible in maintaining time schedule. I don't understand if they can't follow the schedule why they take time wise appointment! A hospital like square should understand the value of maintaining schedule.,negative,terrible maintain time schedule understand follow schedule take time wise appointment hospital like square understand value maintain schedule
